pnu,jiga
1114016200104320003,7023000
1114016200108210003,4600000
1114016200108220003,2626000
1114016200108230003,2766000
1114016200108240003,2675000
1114016200108250003,2597000
1114016200108260003,2600000
1114016200108280003,2860000
1114016200108290003,2717000
1114016200108300003,2662000
1114016200108440003,6032000
1117013000100010003,7640000
1117013000100020003,7831000
1117013000100030003,9170000
1117013000100040003,3026000
1117013000100050003,8718000
1117013000101020003,9640000
1117013000101030003,6650000
1117013000101040003,10400000
1117013000101050003,9331000
1117013000101060003,9331000
1117013000101110003,10710000
1117013000101120003,13200000
1117013000101160003,11760000
1117013000101180003,6752000
1117013000101190003,9156000
1117013000101200003,4477000
1117013000101230003,12060000
1117013000101240003,9220000
1117013000101260003,25760000
1117013000101270003,28000000
1117013000101280003,27720000
1117013000101350003,10970000
1117013000101430003,3306000
1117013000101470003,7520000
1117013000101640003,4915000
1117013000101680003,12760000
1117013000101710003,4820000
1117013000101720003,7580000
1117013000101770003,7354000
1117013000101800003,8547000
1117013000101840003,5121000
1117013000101860003,5169000
1117013000101900003,1884000
1117013000101930003,4934000
1117013000101950003,5299000
1117013000102000003,5210000
1117013000102030003,5418000
1117013000102040003,5355000
1117013000102060003,5039000
1117013000102070003,5413000
1117013000102090003,1597000
1117013000102110003,4094000
1117013000102120003,4549000
1117013000102160003,3974000
1117013000102170003,4913000
1117013000102210003,1749000
1117013000102220003,5577000
1117013000102260003,12950000
1117013000102290003,3661000
1117013000102310003,4382000
1117013000102320003,1310000
1117013000102330003,6019000
1117013000102400003,8441000
1117013000102430003,4427000
1117013000102450003,3781000
1117013000102570003,5450000
1117013000102580003,2544000
1117013000102590003,2976000
1117013000102600003,999900
1117013000102610003,457800
1117013000102620003,1917000
1117013000103170003,4658000
1117013100100640003,9956000
1117013100106570003,6533000
1117013100106820003,6127000
1117013100106830003,6305000
1117013100106840003,6692000
1117013100106860003,5618000
1117013100106910003,4812000
1117013100106960003,5824000
1117013100106990003,5523000
1117013100107040003,4408000
1117013100107050003,6593000
1117013100107070003,2240000
